,Alex,Michael,Anand,Ritesh,Tim,Status,,,
contacting cassandra,-100,100,,,,,5,12,12
earplugs and sleeping masks,20,-20,,,,,7,,
broke python on master (maybe?),,,,,,,,,
fileeditordialog flow failure,20,,,-20,,,,,
failed flow tests,20,,,,-20,,,,
cost of le'espalier,,-55,,50,5,not done,,,
followup -- anand fililng out angellist,,30,-30,,,,,,
flow,,20,,-20,,,,,
Tailored Michael's Coat,,-50,,,50,,,,
Alex / Tim wakeup,-5,,,,5,,,,
Marshall Quander,30,-30,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,-15,-5,-30,10,40,,,,